yearID,lgID,teamID,franchID,divID,Rank,G,Ghome,W,L,DivWin,WCWin,LgWin,WSWin,R,AB,H,2B,3B,HR,BB,SO,SB,CS,HBP,SF,RA,ER,ERA,CG,SHO,SV,IPouts,HA,HRA,BBA,SOA,E,DP,FP,name,park,attendance,BPF,PPF,teamIDBR,teamIDlahman45,teamIDretro,year_team_ID
1988,AL,BAL,BAL,E,7,161,80,54,107,N,,N,N,550,5358,1275,199,20,137,504,869,69,44,,,789,714,4.54,20,7,26,4248,1506,153,523,709,118,172,0.98,Baltimore Orioles,Memorial Stadium,1660738,97,98,BAL,BAL,BAL,1988_BAL
1988,AL,BOS,BOS,E,1,162,81,89,73,Y,,N,N,813,5545,1569,310,39,124,623,728,65,36,,,689,629,3.97,26,14,37,4278,1415,143,493,1085,93,123,0.98,Boston Red Sox,Fenway Park II,2464851,105,104,BOS,BOS,BOS,1988_BOS
1988,AL,CAL,ANA,W,4,162,81,75,87,N,,N,N,714,5582,1458,258,31,124,469,819,86,52,,,771,698,4.32,26,9,33,4365,1503,135,568,817,135,175,0.97,California Angels,Anaheim Stadium,2340925,97,97,CAL,CAL,CAL,1988_CAL
1988,AL,CHA,CHW,W,5,161,81,71,90,N,,N,N,631,5449,1327,224,35,132,446,908,98,46,,,757,659,4.12,11,9,43,4317,1467,138,533,754,154,177,0.97,Chicago White Sox,Comiskey Park,1115749,100,100,CHW,CHA,CHA,1988_CHA
1988,NL,CHN,CHC,E,4,163,82,77,85,N,,N,N,660,5675,1481,262,46,113,403,910,120,46,,,694,625,3.84,30,10,29,4392,1494,115,490,897,125,128,0.98,Chicago Cubs,Wrigley Field,2089034,105,105,CHC,CHN,CHN,1988_CHN
1988,NL,CIN,CIN,W,2,161,80,87,74,N,,N,N,641,5426,1334,246,25,122,479,922,207,56,,,596,542,3.35,24,13,43,4365,1271,121,504,934,121,131,0.98,Cincinnati Reds,Riverfront Stadium,2072528,104,104,CIN,CIN,CIN,1988_CIN
1988,AL,CLE,CLE,E,6,162,81,78,84,N,,N,N,666,5505,1435,235,28,134,416,866,97,50,,,731,663,4.16,35,10,46,4302,1501,120,442,812,124,131,0.98,Cleveland Indians,Cleveland Stadium,1411610,102,103,CLE,CLE,CLE,1988_CLE
1988,AL,DET,DET,E,2,162,81,88,74,N,,N,N,703,5433,1358,213,28,143,588,841,87,42,,,658,596,3.71,34,8,36,4335,1361,150,497,890,109,129,0.98,Detroit Tigers,Tiger Stadium,2081162,97,97,DET,DET,DET,1988_DET
1988,NL,HOU,HOU,W,5,162,81,82,80,N,,N,N,617,5494,1338,239,31,96,474,840,198,71,,,631,558,3.41,21,15,40,4422,1339,123,478,1049,138,124,0.97,Houston Astros,Astrodome,1933505,96,96,HOU,HOU,HOU,1988_HOU
1988,AL,KCA,KCR,W,3,161,80,84,77,N,,N,N,704,5469,1419,275,40,121,486,944,137,54,,,648,579,3.65,29,12,32,4284,1415,102,465,886,124,147,0.98,Kansas City Royals,Royals Stadium,2350181,101,101,KCR,KCA,KCA,1988_KCA
1988,NL,LAN,LAD,W,1,162,81,94,67,Y,,Y,Y,628,5431,1346,217,25,99,437,947,131,46,,,544,481,2.96,32,24,49,4389,1291,84,473,1029,142,126,0.97,Los Angeles Dodgers,Dodger Stadium,2980262,98,97,LAD,LAN,LAN,1988_LAN
1988,AL,MIN,MIN,W,2,162,81,91,71,N,,N,N,759,5510,1508,294,31,151,528,832,107,63,,,672,625,3.93,18,9,52,4293,1457,146,453,897,83,155,0.98,Minnesota Twins,Hubert H Humphrey Metrodome,3030672,103,102,MIN,MIN,MIN,1988_MIN
1988,AL,ML4,MIL,E,3,162,81,87,75,N,,N,N,682,5488,1409,258,26,113,439,911,159,55,,,616,555,3.45,30,8,51,4347,1355,125,437,832,120,146,0.98,Milwaukee Brewers,County Stadium,1923238,101,100,MIL,MIL,MIL,1988_ML4
1988,NL,MON,WSN,E,3,163,81,81,81,N,,N,N,628,5573,1400,260,48,107,454,1053,189,89,,,592,507,3.08,18,12,43,4446,1310,122,476,923,142,145,0.97,Montreal Expos,Stade Olympique,1478659,104,104,MON,MON,MON,1988_MON
1988,AL,NYA,NYY,E,5,161,80,85,76,N,,N,N,772,5592,1469,272,12,148,588,935,146,39,,,748,689,4.26,16,5,43,4368,1512,157,487,861,134,161,0.97,New York Yankees,Yankee Stadium II,2633701,99,100,NYY,NYA,NYA,1988_NYA
1988,NL,NYN,NYM,E,1,160,80,100,60,Y,,N,N,703,5408,1387,251,24,152,544,842,140,51,,,532,465,2.91,31,22,46,4317,1253,78,404,1100,115,127,0.98,New York Mets,Shea Stadium,3055445,95,94,NYM,NYN,NYN,1988_NYN
